fid,liansai,Lteam,L进,L失,Rteam,R进,R失,time,平均初盘胜,平均即时胜,平均初盘平,平均即时平,平均初盘负,平均即时负,离散初盘胜,离散即时胜,离散初盘平,离散即时平,离散初盘负,离散即时负,初盘胜,初盘平,初盘负,胜,平,负,平均即时大,平均即时盘口,平均即时小,平均初盘大,平均初盘盘口,平均初盘小,最高即时大,最高即时盘口,最高即时小,最高初盘大,最高初盘盘口,最高初盘小,最低即时大,最低即时盘口,最低即时小,最低初盘大,最低初盘盘口,最低初盘小,赛果
1072751,爱甲,戈尔韦,1.87,1,朗福德城,1.2,1.6,2023-03-25 03:45,1.32,1.18,4.58,6,7.88,13.86,7.75,12.61,18.32,106.3,80.17,405.89,0.95,0.85,0.78,0.92,0.92,0.92,0.84,2.7,0.98,0.94,2.7,0.84,0.61,2.5/3,0.87,0.7,2.5/3,0.74,0.95,2.5,1.15,1.08,2.5,1,主胜
1072752,爱甲,凯里FC,0.8,3.4,阿斯隆,1.73,2.07,2023-03-25 03:45,3.58,6.04,3.54,4.41,1.86,1.45,29.7,227.37,9.78,55.1,33.36,75.93,0.55,0.74,1.19,0.92,0.92,0.92,0.9,2.88,0.93,0.86,2.64,0.92,0.55,3,0.8,0.7,2.5/3,0.77,1.06,2.5,1.25,1.03,2.5,1.05,客胜
1086238,欧洲杯,法国,1.8,1,荷兰,2.2,1,2023-03-25 03:45,1.86,1.67,3.46,3.88,4.02,5.09,8.31,22.36,13.01,24.73,24.93,81.47,1,0.87,0.84,0.95,0.95,0.95,0.85,2.5,0.97,0.91,2.39,0.86,0.72,2.5,0.9,0.76,2.5,0.7,0.9,2.5,1.03,1.05,2/2.5,1.05,主胜
1086239,欧洲杯,直布罗陀,0.53,2.73,希腊,1.27,0.8,2023-03-25 03:45,27.22,35.85,9.47,11.68,1.08,1.06,379.63,731.08,96.9,217.42,2.25,1.86,0.76,0.84,0.95,0.95,0.94,0.95,0.79,3.41,1.09,0.8,3.25,0.99,0.3,3.5,0.85,0.4,3.5,0.75,0.88,2.5,2.3,1.05,2.5,1.7,客胜
1086298,欧洲杯,捷克,1.73,1.27,波兰,1.2,1.4,2023-03-25 03:45,2.27,2.22,3.21,3.2,3.06,3.4,6.25,12.52,12.57,8.01,15.22,36.21,0.9,0.94,0.95,0.94,0.94,0.95,1.04,2.3,0.81,0.94,2.3,0.84,0.86,2.5,0.59,0.79,2.5,0.59,1.25,2/2.5,0.9,1.2,2/2.5,0.96,主胜
1086318,欧洲杯,瑞典,1.13,1.2,比利时,1.53,1.2,2023-03-25 03:45,3.47,3.49,3.33,3.27,2.05,2.15,29.71,17.97,15.1,8.85,8.91,11.76,0.98,0.95,0.89,0.94,0.95,0.95,0.89,2.3,0.94,0.91,2.32,0.87,0.78,2.5,0.65,0.78,2.5,0.65,1.1,2/2.5,1.04,1.1,2/2.5,0.98,客胜
1086319,欧洲杯,奥地利,1.47,1.27,阿塞拜疆,1.07,1.47,2023-03-25 03:45,1.22,1.21,5.77,6.29,12.24,13.14,3.83,3.43,28.05,44.08,139.6,133.88,0.94,0.9,0.87,0.95,0.94,0.94,0.87,2.88,0.99,0.87,2.68,0.9,0.55,3,0.8,0.59,2.5/3,0.8,1.02,2.5,1.3,1.01,2.5,1.2,主胜
1086338,欧洲杯,保加利亚,1.47,1.47,黑山,1,1.07,2023-03-25 01:00,2.56,2.87,3.04,2.95,2.78,2.69,12.55,30.4,13.63,10.5,7.5,16.55,0.95,0.93,0.9,0.94,0.94,0.95,1.08,1.95,0.84,0.95,2.16,0.85,0.8,2.5,0.4,0.73,2.5,0.52,1.75,1.5/2,1.04,1.35,2,1.06,客胜
1086480,友谊赛,韩国,1.6,1.47,哥伦比亚,1.07,0.47,2023-03-24 19:00,2.97,2.38,3.05,3.07,2.37,3.04,21.85,29.34,7.24,8.03,7.33,33.26,1.04,0.91,0.84,0.93,0.93,0.93,1.14,2.28,0.82,1.09,2.31,0.74,0.77,3.5,0.17,0.94,2.5,0.54,3.1,2,1.11,1.3,2/2.5,0.85,平局
1086978,麒麟杯,日本,1.73,0.87,乌拉圭,1.07,1,2023-03-24 18:30,2.65,2.22,3.15,3.13,2.55,3.26,43.17,25.08,7.17,8.23,14.69,35.11,1.14,0.9,0.72,0.93,0.93,0.93,0.9,2.09,0.97,0.99,2.31,0.83,0.38,2.5,0.53,0.88,2.5,0.57,1.38,1.5,1.7,1.25,2/2.5,0.94,平局
